username,password,firstname,lastname,address1,address2
swastikp1,sipusipu1,Swastik,Pattnaik,Unit-7,Bhubaneswar
swastikp2,sipusipu2,Shravan,Adhikary,Unit-8,New Delhi
swastikp3,sipusipu3,Yudhajit,Tiwary,Unit-1,Bangalore
swastikp4,sipusipu4,Yaman,Sharma,Unit-2,Patna
swastikp5,sipusipu5,Abhisek,Patil,Unit-3,Pune
swastikp6,sipusipu6,Vikash,Mishra,Unit-5,Ranchi
swastikp7,sipusipu7,Rahul,Chopra,Unit-4,Kolkata
swastikp8,sipusipu8,Adil,Kumar,Unit-6,Chennai
swastikp9,sipusipu9,Chris,Moody,Unit-9,Hyderabad
swastikp10,sipusipu10,Mamoon,Shaik,Unit-10,Mumbai
swastikp11,sipusipu11,Swastik,Pattnaik,Unit-7,Bhubaneswar
swastikp12,sipusipu12,Shravan,Adhikary,Unit-8,New Delhi
swastikp16,sipusipu16,Vikash,Mishra,Unit-5,Ranchi
swastikp17,sipusipu17,Rahul,Chopra,Unit-4,Kolkata
swastikp18,sipusipu18,Adil,Kumar,Unit-6,Chennai
swastikp19,sipusipu19,Chris,Moody,Unit-9,Hyderabad
swastikp20,sipusipu20,Mamoon,Shaik,Unit-10,Mumbai
swastikp21,sipusipu21,Swastik,Pattnaik,Unit-7,Bhubaneswar
swastikp22,sipusipu22,Shravan,Adhikary,Unit-8,New Delhi
swastikp23,sipusipu23,Yudhajit,Tiwary,Unit-1,Bangalore
swastikp24,sipusipu24,Yaman,Sharma,Unit-2,Patna
swastikp25,sipusipu25,Abhisek,Patil,Unit-3,Pune
swastikp26,sipusipu26,Vikash,Mishra,Unit-5,Ranchi
swastikp27,sipusipu27,Rahul,Chopra,Unit-4,Kolkata
swastikp31,sipusipu31,Swastik,Pattnaik,Unit-7,Bhubaneswar
swastikp32,sipusipu32,Shravan,Adhikary,Unit-8,New Delhi
swastikp33,sipusipu33,Yudhajit,Tiwary,Unit-1,Bangalore
swastikp34,sipusipu34,Yaman,Sharma,Unit-2,Patna
swastikp35,sipusipu35,Abhisek,Patil,Unit-3,Pune
swastikp36,sipusipu36,Vikash,Mishra,Unit-5,Ranchi
swastikp37,sipusipu37,Rahul,Chopra,Unit-4,Kolkata
swastikp38,sipusipu38,Adil,Kumar,Unit-6,Chennai
swastikp39,sipusipu39,Chris,Moody,Unit-9,Hyderabad
swastikp40,sipusipu40,Mamoon,Shaik,Unit-10,Mumbai
swastikp41,sipusipu41,Swastik,Pattnaik,Unit-7,Bhubaneswar
swastikp42,sipusipu42,Shravan,Adhikary,Unit-8,New Delhi
swastikp46,sipusipu46,Vikash,Mishra,Unit-5,Ranchi
swastikp47,sipusipu47,Rahul,Chopra,Unit-4,Kolkata
swastikp48,sipusipu48,Adil,Kumar,Unit-6,Chennai
swastikp49,sipusipu49,Chris,Moody,Unit-9,Hyderabad
swastikp50,sipusipu50,Mamoon,Shaik,Unit-10,Mumbai
swastikp51,sipusipu51,Swastik,Pattnaik,Unit-7,Bhubaneswar
swastikp52,sipusipu52,Shravan,Adhikary,Unit-8,New Delhi
swastikp53,sipusipu53,Yudhajit,Tiwary,Unit-1,Bangalore
swastikp54,sipusipu54,Yaman,Sharma,Unit-2,Patna
swastikp55,sipusipu55,Abhisek,Patil,Unit-3,Pune
swastikp56,sipusipu56,Vikash,Mishra,Unit-5,Ranchi
swastikp57,sipusipu57,Rahul,Chopra,Unit-4,Kolkata
swastikp61,sipusipu61,Swastik,Pattnaik,Unit-7,Bhubaneswar
swastikp62,sipusipu62,Shravan,Adhikary,Unit-8,New Delhi
swastikp63,sipusipu63,Yudhajit,Tiwary,Unit-1,Bangalore
swastikp64,sipusipu64,Yaman,Sharma,Unit-2,Patna
swastikp65,sipusipu65,Abhisek,Patil,Unit-3,Pune
swastikp66,sipusipu66,Vikash,Mishra,Unit-5,Ranchi
swastikp67,sipusipu67,Rahul,Chopra,Unit-4,Kolkata
swastikp68,sipusipu68,Adil,Kumar,Unit-6,Chennai
swastikp69,sipusipu69,Chris,Moody,Unit-9,Hyderabad
swastikp70,sipusipu70,Mamoon,Shaik,Unit-10,Mumbai
swastikp71,sipusipu71,Swastik,Pattnaik,Unit-7,Bhubaneswar
swastikp72,sipusipu72,Shravan,Adhikary,Unit-8,New Delhi
swastikp76,sipusipu76,Vikash,Mishra,Unit-5,Ranchi
swastikp77,sipusipu77,Rahul,Chopra,Unit-4,Kolkata
swastikp78,sipusipu78,Adil,Kumar,Unit-6,Chennai
swastikp79,sipusipu79,Chris,Moody,Unit-9,Hyderabad
swastikp80,sipusipu80,Mamoon,Shaik,Unit-10,Mumbai
swastikp81,sipusipu81,Swastik,Pattnaik,Unit-7,Bhubaneswar
swastikp82,sipusipu82,Shravan,Adhikary,Unit-8,New Delhi
swastikp83,sipusipu83,Yudhajit,Tiwary,Unit-1,Bangalore
swastikp84,sipusipu84,Yaman,Sharma,Unit-2,Patna
swastikp85,sipusipu85,Abhisek,Patil,Unit-3,Pune
swastikp86,sipusipu86,Vikash,Mishra,Unit-5,Ranchi
swastikp87,sipusipu87,Rahul,Chopra,Unit-4,Kolkata
swastikp91,sipusipu91,Swastik,Pattnaik,Unit-7,Bhubaneswar
swastikp92,sipusipu92,Shravan,Adhikary,Unit-8,New Delhi
swastikp93,sipusipu93,Yudhajit,Tiwary,Unit-1,Bangalore
swastikp94,sipusipu94,Yaman,Sharma,Unit-2,Patna
swastikp95,sipusipu95,Abhisek,Patil,Unit-3,Pune
swastikp96,sipusipu96,Vikash,Mishra,Unit-5,Ranchi
swastikp97,sipusipu97,Rahul,Chopra,Unit-4,Kolkata
swastikp99,sipusipu99,Chris,Moody,Unit-9,Hyderabad
swastikp100,sipusipu100,Mamoon,Shaik,Unit-10,Mumbai
swastikp101,sipusipu101,Mamoon,Shaik,Unit-10,Mumbai
swastikp102,sipusipu102,Swastik,Pattnaik,Unit-7,Bhubaneswar
swastikp106,sipusipu106,Abhisek,Patil,Unit-3,Pune
swastikp107,sipusipu107,Vikash,Mishra,Unit-5,Ranchi
swastikp108,sipusipu108,Rahul,Chopra,Unit-4,Kolkata
swastikp109,sipusipu109,Adil,Kumar,Unit-6,Chennai
swastikp110,sipusipu110,Chris,Moody,Unit-9,Hyderabad
